,Date,Location,Dead,Injured,Total,Description,dt,Suspects Dead,Suspects Injured,Year,Month,Day,loc,loc_name,loc_coords,lat,long,wrapped_descr,City,State
24,"July 20, 2019","Chicago, Illinois",0,7,7,"Seven people were wounded in a shooting in Lincoln Park, after an argument between two groups escalated.[35]",2019-07-20,0,0,2019,7,20,"Chicago, Cook County, Illinois, USA","Chicago, Cook County, Illinois, USA","(41.8755616, -87.6244212)",41.8755616,-87.6244212,"Seven people were
wounded in a
shooting in Lincoln
Park, after an
argument between two
groups
escalated.[35]",Chicago, Illinois
25,"July 18, 2019","Chicago, Illinois",1,3,4,One woman was killed and three people were injured on a porch at a home in Garfield Park in Chicago's West Side.[36],2019-07-18,0,0,2019,7,18,"Chicago, Cook County, Illinois, USA","Chicago, Cook County, Illinois, USA","(41.8755616, -87.6244212)",41.8755616,-87.6244212,"One woman was killed
and three people
were injured on a
porch at a home in
Garfield Park in
Chicago's West
Side.[36]",Chicago, Illinois
26,"July 17, 2019","Lubbock, Texas",1,3,4,Five men in a vehicle were targeted by a shooter who killed one and injured three others.[37],2019-07-17,0,0,2019,7,17,"Lubbock, Lubbock County, Texas, USA","Lubbock, Lubbock County, Texas, USA","(33.5778631, -101.8551665)",33.5778631,-101.8551665,"Five men in a
vehicle were
targeted by a
shooter who killed
one and injured
three others.[37]",Lubbock, Texas
27,"July 16, 2019","San Antonio, Texas",0,4,4,"A man opened fire on his co-workers at a moving company, injuring four, after a disagreement escalated. The suspect was later arrested.[38]",2019-07-16,0,0,2019,7,16,"San Antonio, Bexar County, Texas, USA","San Antonio, Bexar County, Texas, USA","(29.4246002, -98.4951405)",29.4246002,-98.4951405,"A man opened fire on
his co-workers at a
moving company,
injuring four, after
a disagreement
escalated. The
suspect was later
arrested.[38]",San Antonio, Texas
28,"July 15, 2019","New Orleans, Louisiana",1,3,4,One person was killed and three were wounded in an apartment complex.[39],2019-07-15,0,0,2019,7,15,"New Orleans, Orleans Parish, Louisiana, USA","New Orleans, Orleans Parish, Louisiana, USA","(29.9499323, -90.0701156)",29.9499323,-90.0701156,"One person was
killed and three
were wounded in an
apartment
complex.[39]",New Orleans, Louisiana
29,"July 15, 2019","Atlanta, Georgia",0,4,4,Four people were wounded in a shooting after a potential drug deal turns deadly.[40],2019-07-15,0,0,2019,7,15,"Atlanta, Fulton County, Georgia, USA","Atlanta, Fulton County, Georgia, USA","(33.7490987, -84.3901849)",33.7490987,-84.3901849,"Four people were
wounded in a
shooting after a
potential drug deal
turns deadly.[40]",Atlanta, Georgia
30,"July 15, 2019","Baltimore, Maryland",2,2,4,"A man attempted to use a gun to demand methadone, then killed one and wounded two before being killed by police in a shootout.[41]",2019-07-15,1,0,2019,7,15,"Baltimore, Maryland, 21203, USA","Baltimore, Maryland, 21203, USA","(39.2908816, -76.610759)",39.2908816,-76.610759,"A man attempted to
use a gun to demand
methadone, then
killed one and
wounded two before
being killed by
police in a
shootout.[41]",Baltimore, Maryland
31,"July 13, 2019","Philadelphia, Pennsylvania",0,7,7,Seven people were wounded in a shooting during a neighborhood basketball game.[42],2019-07-13,0,0,2019,7,13,"Philadelphia, Philadelphia County, Pennsylvania, USA","Philadelphia, Philadelphia County, Pennsylvania, USA","(39.9527237, -75.1635262)",39.9527237,-75.1635262,"Seven people were
wounded in a
shooting during a
neighborhood
basketball game.[42]",Philadelphia, Pennsylvania
32,"July 13, 2019","Chicago, Illinois",1,4,5,One person was killed and four were wounded in a drive-by shooting in Chicago's South Side.[43],2019-07-13,0,0,2019,7,13,"Chicago, Cook County, Illinois, USA","Chicago, Cook County, Illinois, USA","(41.8755616, -87.6244212)",41.8755616,-87.6244212,"One person was
killed and four were
wounded in a drive-
by shooting in
Chicago's South
Side.[43]",Chicago, Illinois
33,"July 11, 2019","Houston, Texas",0,4,4,"Four suspects got into a gunfight, wounding four teenagers in a common area at an apartment complex.[44]",2019-07-11,0,0,2019,7,11,"Houston, Harris County, Texas, USA","Houston, Harris County, Texas, USA","(29.7589382, -95.3676974)",29.7589382,-95.3676974,"Four suspects got
into a gunfight,
wounding four
teenagers in a
common area at an
apartment
complex.[44]",Houston, Texas
34,"July 8, 2019","Manson, North Carolina",2,2,4,"Two people were killed and two children—16 and 10-years-old, were wounded after a domestic dispute escalated.[45]",2019-07-08,0,0,2019,7,8,"Manson, Warren County, North Carolina, 27570, USA","Manson, Warren County, North Carolina, 27570, USA","(36.4218122, -78.2830508)",36.4218122,-78.2830508,"Two people were
killed and two
children—16 and
10-years-old, were
wounded after a
domestic dispute
escalated.[45]",Manson, North Carolina
35,"July 8, 2019","Washington, D.C.",0,4,4,Four perpetrators wounded four men in a shooting outside of a 7-Eleven store.[46],2019-07-08,0,0,2019,7,8,"Washington, D.C., USA","Washington, D.C., USA","(38.8950092, -77.0365625)",38.8950092,-77.0365625,"Four perpetrators
wounded four men in
a shooting outside
of a 7-Eleven
store.[46]",Washington, D.C.
36,"July 7, 2019","Flint, Michigan",2,4,6,"Six people were shot, two fatally, while in a car at a gas station. Police are looking for two suspects.[47]",2019-07-07,0,0,2019,7,7,"Flint, Genesee County, Michigan, 48504, USA","Flint, Genesee County, Michigan, 48504, USA","(43.0171773, -83.7236024)",43.0171773,-83.7236024,"Six people were
shot, two fatally,
while in a car at a
gas station. Police
are looking for two
suspects.[47]",Flint, Michigan
37,"July 7, 2019","Wichita, Kansas",0,4,4,Four people were wounded in a shooting after a potential argument escalated.[48],2019-07-07,0,0,2019,7,7,"Wichita, Sedgwick County, Kansas, USA","Wichita, Sedgwick County, Kansas, USA","(37.6922361, -97.3375448)",37.6922361,-97.3375448,"Four people were
wounded in a
shooting after a
potential argument
escalated.[48]",Wichita, Kansas
38,"July 7, 2019","Chicago, Illinois",0,4,4,Four people were wounded in an early morning shooting in Chicago's Englewood neighborhood.[49],2019-07-07,0,0,2019,7,7,"Chicago, Cook County, Illinois, USA","Chicago, Cook County, Illinois, USA","(41.8755616, -87.6244212)",41.8755616,-87.6244212,"Four people were
wounded in an early
morning shooting in
Chicago's Englewood
neighborhood.[49]",Chicago, Illinois
39,"July 7, 2019","Albuquerque, New Mexico",0,4,4,Four people were discovered wounded in a parking lot in the downtown area.[50],2019-07-07,0,0,2019,7,7,"ABQ, Bernalillo County, New Mexico, United States of America","ABQ, Bernalillo County, New Mexico, United States of America","(35.0841034, -106.6509851)",35.0841034,-106.6509851,"Four people were
discovered wounded
in a parking lot in
the downtown
area.[50]",Albuquerque, New Mexico
40,"July 6, 2019","San Jose, California",0,4,4,"Four people were discovered wounded by police, who responded to a shots fired call; the victims had driven away from the initial scene.[51]",2019-07-06,0,0,2019,7,6,"San Jose, Santa Clara County, California, USA","San Jose, Santa Clara County, California, USA","(37.3361905, -121.8905833)",37.3361905,-121.8905833,"Four people were
discovered wounded
by police, who
responded to a shots
fired call; the
victims had driven
away from the
initial scene.[51]",San Jose, California
41,"July 6, 2019","St. Clair Shores, Michigan",2,2,4,"After a dispute over fireworks, a man shot into a crowd and injured a 12-year-old child and a woman, then barricaded himself in his home. Police discovered him and a woman deceased in the home.[52]",2019-07-06,1,0,2019,7,6,"St. Clair Shores, Macomb County, Michigan, USA","St. Clair Shores, Macomb County, Michigan, USA","(42.4969805, -82.8888054)",42.4969805,-82.8888054,"After a dispute over
fireworks, a man
shot into a crowd
and injured a
12-year-old child
and a woman, then
barricaded himself
in his home. Police
discovered him and a
woman deceased in
the home.[52]",St. Clair Shores, Michigan
42,"July 6, 2019","Charlotte, North Carolina",0,4,4,Four people were shot in a McDonald's parking lot after a dispute involving a rideshare vehicle.[53],2019-07-06,0,0,2019,7,6,"Charlotte, Mecklenburg County, North Carolina, USA","Charlotte, Mecklenburg County, North Carolina, USA","(35.2270869, -80.8431268)",35.2270869,-80.8431268,"Four people were
shot in a McDonald's
parking lot after a
dispute involving a
rideshare
vehicle.[53]",Charlotte, North Carolina
43,"July 5, 2019","Brooklyn, New York",0,4,4,A gunman opened fire — injuring four people in the East New York neighborhood.[54],2019-07-05,0,0,2019,7,5,"BK, Kings County, NYC, New York, USA","BK, Kings County, NYC, New York, USA","(40.6501038, -73.9495823)",40.6501038,-73.9495823,"A gunman opened fire
— injuring four
people in the East
New York
neighborhood.[54]",Brooklyn, New York
44,"July 5, 2019","Chicago, Illinois",0,5,5,Five people were wounded in a shooting in Chicago's Woodlawn community.[55],2019-07-05,0,0,2019,7,5,"Chicago, Cook County, Illinois, USA","Chicago, Cook County, Illinois, USA","(41.8755616, -87.6244212)",41.8755616,-87.6244212,"Five people were
wounded in a
shooting in
Chicago's Woodlawn
community.[55]",Chicago, Illinois
